Iteration	logLikelihood	logPrior	sigma	e76	e81	aYFP	aCFP	KGR_76	KGS_76	KGR_81	KGS_81	KR6	KS6	KR12	KS12	nR	nS	aR33	aS175	dR	dYFP	dCFP	autoCFP	autoYFP	aL	aT	nL	nT	dL	dT	iA	iI	yb0_exrep	cb0_exrep
20	-186499.981552198	-1539.7082042843	41.8442069555016	0.0207067886106898	0.00665328951021633	31269.5340089152	25558.6707672681	8.31736089007884	0.000322033030713768	0.0157433215313891	11.7104695519086	0.000157009516848066	4.03652560629117E-06	1.04891910831563E-08	0.0270912941878735	0.773714809209726	1.05111683491786	9.37938652082734	2.95867433224989	9.97321955859779	0.14684321487734	0.464571483671786	267.16860678634	7.7515346629154	56.3525889448453	43.906160514328	0.655169999516479	2.20453396355276	0.517233438479813	2.06183091287976	0.117749440590487	108.901302154476	90.1321560692869	1896.96293578622
21	-186494.072414469	-1543.77073900424	41.8928924985697	0.0205862587953636	0.00664246599227485	31264.7529079441	25371.6892345797	8.32800794938974	0.000589662306487081	0.0154182256721701	11.7088197444217	0.00015785767950857	4.03652560629117E-06	1.04474802186409E-08	0.026882094950827	0.775118601562752	1.04728046252622	9.37938652082734	2.95867433224989	9.9753957236436	0.145161833612372	0.464105933951135	267.16860678634	7.82276346017961	56.8279227929079	44.2622085326468	0.652497504803899	2.20125632239711	0.509105237028713	2.0599554992944	0.117716877853645	107.924518104468	89.218277793096	1946.68866192723
22	-186499.964851851	-1539.0524641974	41.8461723076303	0.0205841456714458	0.00667431572383681	31264.7529079441	25371.6892345797	8.34671658078498	0.000560521937878374	0.0153864803424701	11.7088197444217	0.00015785767950857	3.98040864637392E-06	1.0065003779555E-08	0.026616027282182	0.77458720307243	1.04728046252622	9.37040454845046	2.96292924414573	9.99821525786515	0.144991757752025	0.463753622618348	269.776027677424	7.98265217267782	57.0107791465995	44.164054225693	0.649618270282312	2.20103753373581	0.50573683098472	2.06260282115025	0.117422865221759	109.808625219831	88.5256748153343	1905.38179981522
23	-186504.535334875	-1532.70434084614	41.7310677920279	0.0207485468952145	0.00689906227756518	31264.7529079441	25337.3642206938	8.52394716315962	0.00038684141051744	0.0152130059144422	11.7088197444217	0.000158431214627658	3.89863349739387E-06	1.03706232358375E-08	0.0266011056333641	0.775616304597684	1.04772635998157	9.37040454845046	2.96292924414573	9.99821525786515	0.144991757752025	0.463753622618348	268.323205279803	8.08989749088317	56.8386267813131	44.164054225693	0.649618270282312	2.20968636409106	0.511237957167108	2.06085111258635	0.11698292775896	109.808625219831	91.4459141560635	1923.22434044276
24	-186512.991047585	-1526.45725315818	41.7310677920279	0.0207577697866327	0.00684272040297139	31194.0604804884	25402.5759727387	8.64341681882787	0.000448385397616625	0.0149738646884611	11.7299793222761	0.000155502720644457	3.92522233978633E-06	1.02466552214252E-08	0.0265581382803722	0.775805392172469	1.04730396906059	9.32605084825818	2.96292924414573	9.99821525786515	0.14508933643199	0.463915802574593	268.323205279803	8.24979234666197	56.2736422966138	44.164054225693	0.658621236461097	2.19192597381051	0.511655898623582	2.06085111258635	0.11698292775896	110.302943586796	91.4459141560635	1947.40546288732
25	-186509.699175187	-1531.06929626649	41.9131638865037	0.0206210646800521	0.0068424746565417	31158.8312934155	25434.47464124	8.73153303835756	0.000178768393853336	0.0150426462633229	11.7299793222761	0.000155502720644457	3.63217345877397E-06	1.02655024585575E-08	0.0267510702262184	0.775878908915205	1.04806813555533	9.32605084825818	2.96292924414573	9.99821525786515	0.14508933643199	0.466031587905264	266.79806003217	8.30805703482713	56.4010960544092	44.2470774043154	0.653687285561596	2.19160735726783	0.509205008913733	2.05391955233811	0.11698292775896	110.302943586796	91.4459141560635	1989.50725356342
26	-186508.930666355	-1530.41182942964	41.9443753221689	0.0206093980075724	0.00680554149446728	31228.4542950998	25434.47464124	8.73153303835756	0.000123194021597969	0.0150238774157011	11.720769476144	0.000153717058813739	3.70529935703059E-06	1.00963203029351E-08	0.0266693385353216	0.774877406474258	1.04562201252811	9.36176353223664	2.96292924414573	9.99821525786515	0.14508933643199	0.466030748164115	268.860570455678	8.50419694010002	56.6207034995954	44.5412929678205	0.65187663093274	2.18195730790655	0.514878868158366	2.07049449987757	0.117020788898506	110.302943586796	88.9775975501944	1989.50725356342
27	-186502.894870248	-1537.84677226946	41.7459241201171	0.0208660686084637	0.00705700661585167	31119.4305059929	25434.47464124	8.53543987462093	0.000135220921972091	0.015045712082425	11.7317967091369	0.000155177836754072	4.50243985190115E-06	1.00940427384605E-08	0.0266216751998128	0.770785651010307	1.04469491387598	9.36176353223664	2.96292924414573	9.99821525786515	0.14508933643199	0.462825589352216	268.267281317551	8.50419694010002	56.6770433249261	44.5412929678205	0.654122763405765	2.18012446641616	0.51827769401441	2.08001475886637	0.117020788898506	108.986851870484	94.7164141854064	1989.50725356342
28	-186485.65152157	-1550.67164213175	41.8620239068548	0.0205446911755579	0.00676088030544764	31327.4447072029	25390.8177750314	8.54599321731149	0.00017821859860724	0.0153597614899585	11.7365184622215	0.000155551051622068	4.50243985190115E-06	1.0078833155146E-08	0.0266282227524897	0.770879318603373	1.04623838264131	9.3174352802016	2.96292924414573	9.99821525786515	0.145238782901194	0.463764568882243	269.542262296223	8.34951671329064	56.9894019879545	44.5412929678205	0.653145659062778	2.19084772072277	0.51172348507334	2.08965352110411	0.117405179284768	108.48631033693	94.7164141854064	1984.64603753829
29	-186502.367442104	-1535.52413496943	41.5117622753327	0.021057632356754	0.00681436166319827	31378.2922716896	25345.8595142985	8.62120431708039	0.000138065579277761	0.0153122994739307	11.8242637624548	0.000155424643218247	4.44724657853462E-06	1.00343688186293E-08	0.0265884491910426	0.772712827759756	1.0485048953569	9.33051166417516	2.96292924414573	9.99821525786515	0.145371434897916	0.463722556476031	269.568323085249	8.34951671329064	56.9894019879545	44.5412929678205	0.652914531248932	2.19122765478834	0.516385494681869	2.08965352110411	0.117517811375443	106.528789860815	95.7808546246325	1962.6006629322
